Gold | has bedazzled | investors
José Torres | said | Powell’s remarks quelled concerns and propelled hopes
Powell’s remarks | quelled | concerns that the central bank views the digital currency as a challenger to the U.S. currency
Powell’s remarks | propelled | hopes that more monetary policy leaders will embrace the space
Concerns | existed that | the central bank views the digital currency as a challenger to the U.S. currency
Gold | still has | a place in portfolios
Emergence of Bitcoin | challenges | gold’s role in portfolios
Gold | isn’t subject to | nearly as much volatility
Gold’s lower volatility | supports | its place in portfolios
Bitcoin | exhibits | higher volatility than gold
Since 2013, the digital currency (Bitcoin) | has tended to have | 70% to 80% pullbacks roughly every four years
Bitcoin | often drops alongside | a falling stock market
Stock market | falls | during certain periods
Jason Pride and Michael Reynolds | pointed out | Bitcoin’s pattern of large pullbacks and correlation with a falling stock market
Jason Pride | is | chief of investment strategy and research at Glenmede
Michael Reynolds | is | vice president of investment strategy at Glenmede
Downside protection | is | a key characteristic for stores of value
Bitcoin | appears to offer | little stability
Bitcoin’s limited stability | undermines | its suitability as a store of value
Bitcoin’s lack of stability and downside protection | causes | Bitcoin not to have a clear investing or economic purpose currently
Bitcoin | doesn’t have | a clear investing or economic purpose currently
Bitcoin | remains | an asset in search of utility
Bitcoin’s lack of utility | makes it likely to remain | a speculative asset
Bitcoin | is likely to remain | a speculative asset
Bitcoin’s speculative nature | makes it | ill-suited for inclusion in a diversified portfolio
Bitcoin | is | ill-suited for inclusion in a diversified portfolio
Pride and Reynolds | wrote | that Bitcoin is speculative and ill-suited for diversified portfolios
One money manager | argues | that Bitcoin and gold could go hand in hand
Bitcoin and gold | could go | hand in hand
Bitcoin and gold | are | interesting long-term stores of value
Greater correlation between Bitcoin and gold | would cause | people to debate the differences less
Lack of correlation between Bitcoin and gold | makes | them an interesting pair
David Dziekanski | said | both assets are interesting long-term stores of value and form an interesting pair
David Dziekanski | is | CEO and chief investment officer of Quantify Funds
Quantify Funds | employs | Dziekanski as CEO and CIO
Quantify Funds (“the firm”) | launched | the STKD Bitcoin & Gold ETF
STKD Bitcoin & Gold ETF | is | a fund that owns both crypto and precious metals
STKD Bitcoin & Gold ETF | owns | both crypto and precious metals
Bitcoin and gold taken together | can provide | significant diversification and potential return for a portfolio
Bitcoin and gold | aren’t | adversaries
Framing Bitcoin and gold as complementary assets | is | “the right way” to view them
Dziekanski | added | that Bitcoin and gold together can provide diversification and potential return
Pride and Reynolds | conceded | that Bitcoin would benefit from greater market acceptance and/or meaningful government support
Greater market acceptance | would benefit | Bitcoin
Meaningful government support | would benefit | Bitcoin
Rise of Bitcoin ETFs from several top money management firms | provides | support from Wall Street for Bitcoin
Incoming Trump administration’s wholehearted backing of crypto | provides | support from Washington for Bitcoin
Rise of Bitcoin ETFs and Trump administration backing | give | Bitcoin ample support from both Wall Street and Washington
Bitcoin | now has | ample support from both Wall Street and Washington
